experiment_id,architecture,architecture_label,seed,wandb_run_id,wandb_run_name,wandb_run_url,evaluation_lineage_name,wandb_group,state,hits_at_1,hits_at_5,hits_at_10,hits_at_candidate_limit,ndcg_at_1,ndcg_at_5,ndcg_at_10,ndcg_at_candidate_limit,retrieval_gold_coverage,retrieval_full_gold_coverage,average_candidate_count,evaluated_instances
exp0_graphsage_seed42,graphsage,GraphSAGE,42,s8pr7uiz,102_20260829_193251_graphsage,https://wandb.ai/itonkdong-org/graphragx/runs/s8pr7uiz,97_exp0_graphsage_seed42_retriever,experiment0,finished,0.03665521191294387,0.147766323024055,0.22336769759450173,0.28121420389461627,0.03665521191294387,0.05857264144781847,0.07361551457909295,0.08529063730485315,0.15393661801162511,0.10252004581901487,14.970217640320731,1746.0
exp0_graphsage_seed1337,graphsage,GraphSAGE,1337,bkxrut37,103_20260829_194919_graphsage,https://wandb.ai/itonkdong-org/graphragx/runs/bkxrut37,98_exp0_graphsage_seed1337_retriever,experiment0_seed_winners,finished,0.06357388316151202,0.19129438717067584,0.2898052691867125,0.3728522336769759,0.06357388316151202,0.08362749973062221,0.10757017158468148,0.1269442496057035,0.2293115777602572,0.16380297823596793,14.904925544100802,1746.0
exp0_graphsage_seed2026,graphsage,GraphSAGE,2026,w5pikbnk,104_20260829_195110_graphsage,https://wandb.ai/itonkdong-org/graphragx/runs/w5pikbnk,99_exp0_graphsage_seed2026_retriever,experiment0,finished,0.03837342497136312,0.15922107674684993,0.24284077892325315,0.31099656357388317,0.03837342497136312,0.06224601803017246,0.08099923117524352,0.09517614736404868,0.17642796771431024,0.12142038946162656,14.963344788087056,1746.0
exp0_aa_graphsage_seed42,aa-graphsage,Advance GraphSAGE,42,q036c6gz,105_20260829_195345_aa-graphsage,https://wandb.ai/itonkdong-org/graphragx/runs/q036c6gz,100_exp0_aa_graphsage_seed42_retriever,experiment0_seed_winners,finished,0.25945017182130586,0.6758304696449027,0.8138602520045819,0.8757159221076747,0.25945017182130586,0.4243972669992971,0.4893350109283688,0.5190604817454048,0.7694708059719743,0.6752577319587629,13.901489117983964,1746.0
exp0_aa_graphsage_seed1337,aa-graphsage,Advance GraphSAGE,1337,nc87negc,106_20260829_195618_aa-graphsage,https://wandb.ai/itonkdong-org/graphragx/runs/nc87negc,101_exp0_aa_graphsage_seed1337_retriever,experiment0,finished,0.2376861397479954,0.6557846506300115,0.8087056128293242,0.8619702176403208,0.2376861397479954,0.3967904053355616,0.4666188633371636,0.4929539118386027,0.7495879848919965,0.652348224513173,13.991981672394044,1746.0
exp0_aa_graphsage_seed2026,aa-graphsage,Advance GraphSAGE,2026,ytb558ro,107_20260829_195847_aa-graphsage,https://wandb.ai/itonkdong-org/graphragx/runs/ytb558ro,102_exp0_aa_graphsage_seed2026_retriever,experiment0,finished,0.17926689576174112,0.6002290950744559,0.779495990836197,0.8482245131729668,0.17926689576174112,0.3219205065146047,0.39842539668664934,0.43222047643559336,0.7123710906073674,0.6042382588774341,14.469644902634592,1746.0
exp0_rgcn_seed42,rgcn,R-GCN,42,xrpyyyxu,120_20260830_063300_rgcn,https://wandb.ai/itonkdong-org/graphragx/runs/xrpyyyxu,112_exp0_rgcn_seed42_retriever,experiment0,finished,0.08705612829324169,0.2411225658648339,0.3602520045819015,0.4702176403207331,0.08705612829324169,0.13667506999669138,0.1700748562273265,0.19368488649205087,0.3357651301738129,0.2686139747995418,14.93356242840779,1746.0
exp0_rgcn_seed1337,rgcn,R-GCN,1337,c7q6mc1h,121_20260830_065131_rgcn,https://wandb.ai/itonkdong-org/graphragx/runs/c7q6mc1h,113_exp0_rgcn_seed1337_retriever,experiment0,finished,0.06815578465063,0.1998854524627721,0.30412371134020616,0.37399770904925544,0.06815578465063,0.09181770808689818,0.11561396476591113,0.13265890620187484,0.2282661825158855,0.16323024054982818,14.9581901489118,1746.0
exp0_rgcn_seed2026,rgcn,R-GCN,2026,u1vsx59v,122_20260830_071002_rgcn,https://wandb.ai/itonkdong-org/graphragx/runs/u1vsx59v,114_exp0_rgcn_seed2026_retriever,experiment0_seed_winners,finished,0.20790378006872853,0.5332187857961054,0.6764032073310424,0.7405498281786942,0.20790378006872853,0.3158292649876788,0.3701728070643226,0.398227933575904,0.6157445140411212,0.5103092783505154,14.426689576174113,1746.0
exp0_hgt_seed42,hgt,HGT,42,3udqdq19,111_20260829_205549_hgt,https://wandb.ai/itonkdong-org/graphragx/runs/3udqdq19,103_exp0_hgt_seed42_retriever,experiment0,finished,0.2170675830469645,0.4988545246277205,0.6540664375715922,0.715922107674685,0.2170675830469645,0.320367572842632,0.3730120600033897,0.39864134999078327,0.5963782278782028,0.5,14.307560137457044,1746.0
