experiment_id,model,configuration_id,seed,wandb_group,wandb_run_id,wandb_run_name,inference_lineage_name,answer_hit_rate,answer_precision,answer_recall,answer_f1,answer_exact_match,llm_exact_match_given_full_context,llm_omission_given_full_context,llm_retrieved_gold_utilization,full_context_complete_answer,full_context_llm_omission,partial_context_fully_utilized,partial_context_underutilized,context_gold_coverage,context_full_gold_coverage,prompt_tokens,completion_tokens,total_tokens,total_requests
exp2_nbfnet_seed42_deepseek_sp,deepseek-v4-flash,shortest_path,42,experiment2*,73s08zbr,176_20260831_162703_nbfnet_sp_deepseek-v4-flash,76_recovery_exp1b_nbfnet_seed42_deepseek_sp,0.7989690721649485,0.853899516501997,0.4886322627210393,0.621576128538638,0.5784650630011455,0.6970324361628709,0.20910973084886128,0.7990515708358032,0.6563573883161512,0.17353951890034364,0.07216494845360824,0.03436426116838488,0.8808226508327707,0.8298969072164949,2769961.0,33181.0,2803142.0,1746.0
exp2_nbfnet_seed42_deepseek_pcst_constant_l10,deepseek-v4-flash,pcst_constant_1,42,experiment2*,iiim5kf0,177_20260831_162814_nbfnet_pcst_deepseek-v4-flash,77_recovery_exp1b_nbfnet_seed42_deepseek_pcst_constant_l10,0.5882016036655212,0.882303488860866,0.2524960904607242,0.3926300037411149,0.31844215349369986,0.3926553672316384,0.5903954802259888,0.4139498122900612,0.3321878579610538,0.47880870561282934,0.02004581901489118,0.0990836197021764,0.8716553793511655,0.8109965635738832,662311.0,20810.0,683121.0,1746.0
exp2_nbfnet_seed42_deepseek_pcst_constant_lambda_0p01,deepseek-v4-flash,pcst_constant_0.01,42,experiment2*,u3r02esd,170_20260831_135601_nbfnet_pcst_deepseek-v4-flash,70_exp1b_nbfnet_seed42_deepseek_pcst_constant_lambda_0p01,0.5904925544100802,0.8745888157894737,0.25586430891374956,0.3959050721265705,0.31958762886597936,0.3869625520110957,0.5929264909847434,0.4194823157478759,0.3361970217640321,0.4896907216494845,0.016609392898052692,0.09049255441008018,0.8774306397300072,0.8258877434135166,686663.0,21170.0,707833.0,1746.0
exp2_nbfnet_seed42_deepseek_pcst_semantic_l10,deepseek-v4-flash,pcst_semantic_1,42,experiment2*,2ri4wv8q,178_20260831_162909_nbfnet_pcst_deepseek-v4-flash,78_recovery_exp1b_nbfnet_seed42_deepseek_pcst_semantic_l10,0.6827033218785796,0.8818922305764411,0.33862624804523034,0.4893524554541503,0.40778923253150057,0.49375,0.4798611111111111,0.5550286504643351,0.4289805269186712,0.39576174112256585,0.03436426116838488,0.07331042382588775,0.8766659085889724,0.8247422680412371,653795.0,25064.0,678859.0,1746.0
exp2_nbfnet_seed42_deepseek_pcst_semantic_lambda_0p01,deepseek-v4-flash,pcst_semantic_0.01,42,experiment2*,3i0cla2k,171_20260831_135724_nbfnet_pcst_deepseek-v4-flash,71_exp1b_nbfnet_seed42_deepseek_pcst_semantic_lambda_0p01,0.6804123711340206,0.8786741713570981,0.338024780464333,0.4882286508557034,0.4072164948453608,0.49271339347675225,0.4774462179042332,0.5542382928275045,0.43127147766323026,0.3940435280641466,0.033218785796105384,0.07388316151202749,0.8767470464278421,0.8253150057273768,657754.0,25078.0,682832.0,1746.0
exp2_nbfnet_seed1337_deepseek_sp,deepseek-v4-flash,shortest_path,1337,experiment2*,dd9ox8rb,179_20260831_163035_nbfnet_sp_deepseek-v4-flash,79_recovery_exp1b_nbfnet_seed1337_deepseek_sp,0.7989690721649485,0.8569321533923304,0.48923373030193673,0.6228654567731067,0.5784650630011455,0.6866077498300476,0.21278042148198503,0.7963364191451645,0.6632302405498282,0.17926689576174112,0.06242840778923253,0.03665521191294387,0.8908326536546537,0.8424971363115693,3147056.0,33088.0,3180144.0,1746.0
exp2_nbfnet_seed1337_deepseek_pcst_constant_l10,deepseek-v4-flash,pcst_constant_1,1337,experiment2*,w38mgfwx,180_20260831_163149_nbfnet_pcst_deepseek-v4-flash,80_recovery_exp1b_nbfnet_seed1337_deepseek_pcst_constant_l10,0.5830469644902635,0.8780690803162713,0.25381931913869843,0.3938036580813736,0.3178694158075601,0.3867595818815331,0.5916376306620209,0.4148118967894426,0.3356242840778923,0.4862542955326461,0.018900343642611683,0.09163802978235969,0.8783744592406436,0.8218785796105383,675251.0,20971.0,696222.0,1746.0
exp2_nbfnet_seed1337_deepseek_pcst_constant_lambda_0p01,deepseek-v4-flash,pcst_constant_0.01,1337,experiment2*,62pgf4sk,172_20260831_135942_nbfnet_pcst_deepseek-v4-flash,72_exp1b_nbfnet_seed1337_deepseek_pcst_constant_lambda_0p01,0.5927835051546392,0.8827186075424782,0.256225189462288,0.3971657654297968,0.32245131729667814,0.38493150684931504,0.5952054794520548,0.4187512310419539,0.3384879725085911,0.497709049255441,0.016609392898052692,0.08476517754868271,0.8852369661214099,0.8361970217640321,701455.0,20911.0,722366.0,1746.0
exp2_nbfnet_seed1337_deepseek_pcst_semantic_l10,deepseek-v4-flash,pcst_semantic_1,1337,experiment2*,7uah6lgf,181_20260831_163243_nbfnet_pcst_deepseek-v4-flash,81_recovery_exp1b_nbfnet_seed1337_deepseek_pcst_semantic_l10,0.6890034364261168,0.8807863031071655,0.3341753879465897,0.484520798813988,0.41580756013745707,0.4972602739726027,0.47465753424657536,0.5461886941106953,0.4392898052691867,0.39690721649484534,0.0286368843069874,0.07101947308132875,0.8847666342724834,0.8361970217640321,665230.0,24768.0,689998.0,1746.0
exp2_nbfnet_seed1337_deepseek_pcst_semantic_lambda_0p01,deepseek-v4-flash,pcst_semantic_0.01,1337,experiment2*,jf0x2uj6,173_20260831_140043_nbfnet_pcst_deepseek-v4-flash,73_exp1b_nbfnet_seed1337_deepseek_pcst_semantic_lambda_0p01,0.6890034364261168,0.8826320784561847,0.3356189101407434,0.4863168903608157,0.413516609392898,0.4941820670773443,0.4763860369609856,0.5487492613748276,0.4381443298969072,0.39862542955326463,0.029209621993127148,0.070446735395189,0.8853632360288788,0.8367697594501718,671859.0,24780.0,696639.0,1746.0
exp2_nbfnet_seed2026_deepseek_sp,deepseek-v4-flash,shortest_path,2026,experiment2_seed_winners,68gw24bn,182_20260831_163407_nbfnet_sp_deepseek-v4-flash,82_recovery_exp1b_nbfnet_seed2026_deepseek_sp,0.8081328751431844,0.8704360525766743,0.5018645495007819,0.6366549671905997,0.5830469644902635,0.6927792915531336,0.21049046321525888,0.8074204946996466,0.6638029782359679,0.17697594501718214,0.07731958762886598,0.030355097365406643,0.8924538146762628,0.8407789232531501,4255096.0,33329.0,4288425.0,1746.0
exp2_nbfnet_seed2026_deepseek_pcst_constant_l10,deepseek-v4-flash,pcst_constant_1,2026,experiment2_seed_winners,naqs791n,183_20260831_163526_nbfnet_pcst_deepseek-v4-flash,83_recovery_exp1b_nbfnet_seed2026_deepseek_pcst_constant_l10,0.6099656357388317,0.8911011783827713,0.26380368098159507,0.4070911453499164,0.32245131729667814,0.39536516853932585,0.5793539325842697,0.42913231252453865,0.34306987399770905,0.4725085910652921,0.024054982817869417,0.09564719358533792,0.8763778338284269,0.8155784650630011,665995.0,21170.0,687165.0,1746.0
exp2_nbfnet_seed2026_deepseek_pcst_constant_lambda_0p01,deepseek-v4-flash,pcst_constant_0.01,2026,experiment2_seed_winners,wxvnqkiv,174_20260831_140209_nbfnet_pcst_deepseek-v4-flash,74_exp1b_nbfnet_seed2026_deepseek_pcst_constant_lambda_0p01,0.6116838487972509,0.8868760064412239,0.2650066161433899,0.4080763174956007,0.3241695303550974,0.3899240855762595,0.5797101449275363,0.43129171574401254,0.3487972508591065,0.48109965635738833,0.021191294387170677,0.0882016036655212,0.8817254780071907,0.8298969072164949,700276.0,21194.0,721470.0,1746.0
exp2_nbfnet_seed2026_deepseek_pcst_semantic_l10,deepseek-v4-flash,pcst_semantic_1,2026,experiment2_seed_winners,h64217l5,184_20260831_163618_nbfnet_pcst_deepseek-v4-flash,84_recovery_exp1b_nbfnet_seed2026_deepseek_pcst_semantic_l10,0.6947308132875143,0.895628078817734,0.3499338385661013,0.5032436640429029,0.40893470790378006,0.4927536231884058,0.4768806073153899,0.5702787593246957,0.434135166093929,0.39576174112256585,0.035509736540664374,0.07331042382588775,0.8818721185653786,0.8298969072164949,662024.0,25404.0,687428.0,1746.0
exp2_nbfnet_seed2026_deepseek_pcst_semantic_lambda_0p01,deepseek-v4-flash,pcst_semantic_0.01,2026,experiment2_seed_winners,dzxbyuuj,175_20260831_140309_nbfnet_pcst_deepseek-v4-flash,75_exp1b_nbfnet_seed2026_deepseek_pcst_semantic_lambda_0p01,0.6941580756013745,0.894543225015328,0.3510164802117166,0.5041900647948164,0.40778923253150057,0.4910344827586207,0.4772413793103448,0.5720455437769926,0.434135166093929,0.3963344788087056,0.03608247422680412,0.072737686139748,0.8820043936976536,0.8304696449026346,673325.0,25444.0,698769.0,1746.0
exp2_nbfnet_seed42_luna_sp,gpt-5.6-luna,shortest_path,42,experiment2*,4rnd6y5f,185_20260831_172206_nbfnet_sp_gpt-5.6-luna,85_exp1c_nbfnet_seed42_luna_sp,0.8138602520045819,0.8449937159614579,0.4852640442680139,0.6164896462138,0.5778923253150057,0.694271911663216,0.22567287784679088,0.7939142461964038,0.6426116838487973,0.1872852233676976,0.06643757159221077,0.04009163802978236,0.8808226508327707,0.8298969072164949,2514870.0,37514.0,2552384.0,1746.0
exp2_nbfnet_seed42_luna_pcst_constant_l10,gpt-5.6-luna,pcst_constant_1,42,experiment2*,pc2nr6wz,186_20260831_173534_nbfnet_pcst_gpt-5.6-luna,86_exp1c_nbfnet_seed42_luna_pcst_constant_l10,0.6460481099656358,0.8561886051080551,0.2621195717550824,0.4013630502855038,0.3293241695303551,0.4060734463276836,0.5741525423728814,0.42916419679905154,0.34536082474226804,0.46563573883161513,0.019473081328751432,0.09965635738831616,0.8716553793511655,0.8109965635738832,636029.0,28672.0,664701.0,1746.0
exp2_nbfnet_seed42_luna_pcst_constant_lambda_0p01,gpt-5.6-luna,pcst_constant_0.01,42,experiment2*,ij8ckjf9,187_20260831_173940_nbfnet_pcst_gpt-5.6-luna,87_exp1c_nbfnet_seed42_luna_pcst_constant_lambda_0p01,0.6437571592210768,0.8479904496617588,0.2563454829784675,0.39368187696286727,0.3384879725085911,0.4098474341192787,0.5700416088765603,0.4188895475202529,0.3550973654066438,0.4707903780068728,0.01718213058419244,0.08991981672394044,0.8774306397300072,0.8258877434135166,659490.0,28557.0,688047.0,1746.0
exp2_nbfnet_seed42_luna_pcst_semantic_l10,gpt-5.6-luna,pcst_semantic_1,42,experiment2*,5qb4rpd2,188_20260831_174327_nbfnet_pcst_gpt-5.6-luna,88_exp1c_nbfnet_seed42_luna_pcst_semantic_l10,0.7222222222222222,0.8468440594059405,0.3292433537832311,0.4741446513642269,0.4100801832760595,0.49583333333333335,0.4798611111111111,0.5388263189093064,0.4289805269186712,0.39576174112256585,0.0286368843069874,0.07903780068728522,0.8766659085889724,0.8247422680412371,626793.0,31684.0,658477.0,1746.0
exp2_nbfnet_seed42_luna_pcst_semantic_lambda_0p01,gpt-5.6-luna,pcst_semantic_0.01,42,experiment2*,5pjxum8a,189_20260831_174840_nbfnet_pcst_gpt-5.6-luna,89_exp1c_nbfnet_seed42_luna_pcst_semantic_lambda_0p01,0.718213058419244,0.8422360248447205,0.3262360158787441,0.4703026099020203,0.41408934707903783,0.5010409437890354,0.476058292852186,0.5342817624975301,0.43241695303550975,0.3928980526918671,0.0286368843069874,0.07846506300114547,0.8767470464278421,0.8253150057273768,630554.0,31606.0,662160.0,1746.0
exp2_nbfnet_seed1337_luna_sp,gpt-5.6-luna,shortest_path,1337,experiment2*,f1vqgtrv,190_20260831_175354_nbfnet_sp_gpt-5.6-luna,90_exp1c_nbfnet_seed1337_luna_sp,0.7875143184421535,0.8400511836212412,0.47383616023096353,0.6059067835717582,0.5670103092783505,0.672331747110809,0.24541128484024471,0.7719125467795942,0.6357388316151202,0.206758304696449,0.05956471935853379,0.03951890034364261,0.8908326536546537,0.8424971363115693,2808808.0,36622.0,2845430.0,1746.0
exp2_nbfnet_seed1337_luna_pcst_constant_l10,gpt-5.6-luna,pcst_constant_1,1337,experiment2*,axrnicp1,191_20260831_180829_nbfnet_pcst_gpt-5.6-luna,91_exp1c_nbfnet_seed1337_luna_pcst_constant_l10,0.6300114547537228,0.8444355803749501,0.25466137375195474,0.3913123844731977,0.3241695303550974,0.39372822299651566,0.5860627177700348,0.4152058302146937,0.3402061855670103,0.4816723940435281,0.021191294387170677,0.08934707903780069,0.8783744592406436,0.8218785796105383,647946.0,28443.0,676389.0,1746.0
exp2_nbfnet_seed1337_luna_pcst_constant_lambda_0p01,gpt-5.6-luna,pcst_constant_0.01,1337,experiment2*,b4h0r6rg,192_20260831_181248_nbfnet_pcst_gpt-5.6-luna,92_exp1c_nbfnet_seed1337_luna_pcst_constant_lambda_0p01,0.6483390607101948,0.8458268933539412,0.2633225069168772,0.40161453077699294,0.3361970217640321,0.4006849315068493,0.5787671232876712,0.4293874335237345,0.35223367697594504,0.48396334478808706,0.019473081328751432,0.08190148911798396,0.8852369661214099,0.8361970217640321,672847.0,28863.0,701710.0,1746.0
exp2_nbfnet_seed1337_luna_pcst_semantic_l10,gpt-5.6-luna,pcst_semantic_1,1337,experiment2*,ynyyek0u,193_20260831_181644_nbfnet_pcst_gpt-5.6-luna,93_exp1c_nbfnet_seed1337_luna_pcst_semantic_l10,0.7279495990836197,0.860126582278481,0.326957776975821,0.4738080711235074,0.41924398625429554,0.5006849315068493,0.47191780821917806,0.5339767579279102,0.4415807560137457,0.3946162657502863,0.025200458190148912,0.07445589919816724,0.8847666342724834,0.8361970217640321,637637.0,31133.0,668770.0,1746.0
exp2_nbfnet_seed1337_luna_pcst_semantic_lambda_0p01,gpt-5.6-luna,pcst_semantic_0.01,1337,experiment2*,1cr1ccvk,194_20260831_182136_nbfnet_pcst_gpt-5.6-luna,94_exp1c_nbfnet_seed1337_luna_pcst_semantic_lambda_0p01,0.7268041237113402,0.8576767362192463,0.3312883435582822,0.4779590419993057,0.41695303550973656,0.4976043805612594,0.4791238877481177,0.5404766594445539,0.43585337915234823,0.4009163802978236,0.028064146620847653,0.0715922107674685,0.8853632360288788,0.8367697594501718,643482.0,31337.0,674819.0,1746.0
exp2_nbfnet_seed2026_luna_sp,gpt-5.6-luna,shortest_path,2026,experiment2_seed_winners,do0wyxjk,195_20260831_182613_nbfnet_sp_gpt-5.6-luna,95_exp1c_nbfnet_seed2026_luna_sp,0.8115693012600229,0.852959898154042,0.48357993504150126,0.6172270842929525,0.5693012600229095,0.6771117166212534,0.2391008174386921,0.7785630153121319,0.6397479954180985,0.20103092783505155,0.06987399770904926,0.037800687285223365,0.8924538146762628,0.8407789232531501,3772826.0,36778.0,3809604.0,1746.0
exp2_nbfnet_seed2026_luna_pcst_constant_l10,gpt-5.6-luna,pcst_constant_1,2026,experiment2_seed_winners,77xfqn5g,196_20260831_184505_nbfnet_pcst_gpt-5.6-luna,96_exp1c_nbfnet_seed2026_luna_pcst_constant_l10,0.6592210767468499,0.8463925523661753,0.2624804523036208,0.4006978238912864,0.34077892325315007,0.4178370786516854,0.5582865168539326,0.4269729093050648,0.3602520045819015,0.4553264604810997,0.024054982817869417,0.09564719358533792,0.8763778338284269,0.8155784650630011,639025.0,28697.0,667722.0,1746.0
