experiment_id,configuration_id,seed,wandb_run_id,wandb_run_name,wandb_run_url,wandb_group,evidence_lineage_name,state,average_subgraph_triples,average_distinct_nodes,context_candidate_coverage,candidate_reduction_percentage,context_gold_coverage,context_full_gold_coverage,average_collected_prize,average_edge_cost
exp1_nbfnet_seed42_sp,shortest_path,42,aarinynz,123_20260830_090742_nbfnet_sp,https://wandb.ai/itonkdong-org/graphragx/runs/aarinynz,experiment1,1_exp1a_nbfnet_seed42_sp,finished,76.59908361970217,26.484536082474225,1.0,0.0,0.8808226508327707,0.8298969072164949,,
exp1_nbfnet_seed42_pcst_constant_lambda_0p01,pcst_constant_0.01,42,yro7rop9,164_20260831_124901_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/yro7rop9,experiment1,28_exp1a_nbfnet_seed42_pcst_constant_lambda_0p01,finished,14.175257731958762,15.18327605956472,1.0,0.0,0.8774306397300072,0.8258877434135166,68.79782359679267,0.14175257731958762
exp1_nbfnet_seed42_pcst_constant_l025,pcst_constant_0.25,42,94tbxiho,124_20260830_090823_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/94tbxiho,experiment1,2_exp1a_nbfnet_seed42_pcst_constant_l025,finished,14.175257731958762,15.18327605956472,1.0,0.0,0.8774306397300072,0.8258877434135166,68.79782359679267,3.5438144329896906
exp1_nbfnet_seed42_pcst_constant_l05,pcst_constant_0.5,42,2qfddc4b,125_20260830_090852_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/2qfddc4b,experiment1,3_exp1a_nbfnet_seed42_pcst_constant_l05,finished,14.083619702176405,15.09106529209622,0.9961149293623532,0.3620564808110065,0.8773495018911375,0.8253150057273768,68.75773195876289,7.0418098510882015
exp1_nbfnet_seed42_pcst_constant_l10,pcst_constant_1,42,rexz8bsx,126_20260830_090922_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/rexz8bsx,experiment1,4_exp1a_nbfnet_seed42_pcst_constant_l10,finished,13.38831615120275,14.395761741122566,0.9500221904861164,4.882590255508431,0.8716553793511655,0.8109965635738832,68.20962199312714,13.38831615120275
exp1_nbfnet_seed42_pcst_semantic_lambda_0p01,pcst_semantic_0.01,42,qdyzy3cs,165_20260831_124933_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/qdyzy3cs,experiment1,29_exp1a_nbfnet_seed42_pcst_semantic_lambda_0p01,finished,13.394616265750289,14.405498281786942,1.0,0.0,0.8767470464278421,0.8253150057273768,68.79782359679267,0.10216439454182648
exp1_nbfnet_seed42_pcst_semantic_l025,pcst_semantic_0.25,42,o2qxph7x,127_20260830_090955_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/o2qxph7x,experiment1,5_exp1a_nbfnet_seed42_pcst_semantic_l025,finished,13.392325315005728,14.403207331042385,1.0,0.0,0.8767470464278421,0.8253150057273768,68.79782359679267,2.5537533618080666
exp1_nbfnet_seed42_pcst_semantic_l05,pcst_semantic_0.5,42,ycg0iqki,128_20260830_091058_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/ycg0iqki,experiment1,6_exp1a_nbfnet_seed42_pcst_semantic_l05,finished,13.392325315005728,14.403207331042385,1.0,0.0,0.8767470464278421,0.8253150057273768,68.79782359679267,5.107506723616133
exp1_nbfnet_seed42_pcst_semantic_l10,pcst_semantic_1,42,7nr1obww,129_20260830_091200_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/7nr1obww,experiment1,7_exp1a_nbfnet_seed42_pcst_semantic_l10,finished,13.2737686139748,14.284077892325316,0.9946926307751064,0.49653460225509466,0.8766659085889724,0.8247422680412371,68.74284077892325,10.11712642772157
exp1_nbfnet_seed1337_sp,shortest_path,1337,r8swb3b8,130_20260830_091300_nbfnet_sp,https://wandb.ai/itonkdong-org/graphragx/runs/r8swb3b8,experiment1,8_exp1a_nbfnet_seed1337_sp,finished,86.96735395189003,30.5028636884307,1.0,0.0,0.8908326536546537,0.8424971363115693,,
exp1_nbfnet_seed1337_pcst_constant_lambda_0p01,pcst_constant_0.01,1337,8ge3oj20,166_20260831_125040_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/8ge3oj20,experiment1,30_exp1a_nbfnet_seed1337_pcst_constant_lambda_0p01,finished,14.698167239404352,15.705040091638027,1.0,0.0,0.8852369661214099,0.8361970217640321,69.52290950744559,0.146981672394043
exp1_nbfnet_seed1337_pcst_constant_l025,pcst_constant_0.25,1337,5k91go6y,131_20260830_091344_nbfnet_pcst,https://wandb.ai/itonkdong-org/graphragx/runs/5k91go6y,experiment1,9_exp1a_nbfnet_seed1337_pcst_constant_l025,finished,14.698167239404352,15.705040091638027,1.0,0.0,0.8852369661214099,0.8361970217640321,69.52290950744559,3.674541809851088
